,Price,Total_Sqft,Location,BHK,Price_Per_Sqft
445,3924000,939,Ambattur,2,4178
446,3924000,927,Ambattur,2,4233
447,3881000,872,Ambattur,2,4450
448,3244000,872,Ambattur,2,3720
449,5263000,721,Ambattur,2,7299
450,2059000,721,Ambattur,2,2855
451,3881000,721,Ambattur,2,5382
452,4757000,721,Ambattur,2,6597
453,2781000,721,Ambattur,2,3857
454,4610000,721,Ambattur,2,6393
455,7213000,721,Ambattur,2,10004
456,5737000,721,Ambattur,2,7957
457,5405000,927,Ambattur,2,5830
458,7108000,886,Ambattur,2,8022
459,5550000,886,Ambattur,2,6264
462,5821000,1047,Ambattur,2,5559
463,6730000,1053,Ambattur,2,6391
470,5965000,721,Ambattur,2,8273
471,3800000,890,Ambattur,2,4269
472,8600000,867,Ambattur,2,9919
473,2450000,930,Ambattur,2,2634
474,4150000,760,Ambattur,2,5460
475,3500000,965,Ambattur,2,3626
477,4161999,821,Ambattur,2,5069
478,2900000,840,Ambattur,2,3452
479,7051000,925,Ambattur,2,7622
480,4796000,705,Ambattur,2,6802
481,3601000,1090,Ambattur,2,3303
482,7500000,925,Ambattur,2,8108
483,2513000,760,Ambattur,2,3306
484,2408000,740,Ambattur,2,3254
485,3874000,730,Ambernath East,1,5306
486,2300000,690,Ambernath East,1,3333
487,5800000,466,Ambernath East,1,12446
488,2565000,595,Ambernath East,1,4310
493,14500000,1010,Ambernath East,2,14356
494,3300000,690,Ambernath East,1,4782
495,13899999,900,Ambernath East,2,15444
496,3800000,625,Ambernath East,1,6080
497,4600000,725,Ambernath East,1,6344
498,8600000,827,Ambernath East,1,10399
499,2400000,690,Ambernath West,1,3478
500,2374000,634,Ambernath West,1,3744
501,2374000,634,Ambernath West,1,3744
502,11000000,728,Ambernath West,1,15109
504,3100000,550,Ambernath West,1,5636
505,2576000,630,Ambernath West,1,4088
506,2520000,644,Ambernath West,1,3913
507,2520000,709,Ambernath West,1,3554
508,2576000,630,Ambernath West,1,4088
509,3064000,644,Ambernath West,1,4757
510,3188000,630,Ambernath West,1,5060
511,19000000,630,Ambernath West,1,30158
512,19000000,644,Ambernath West,1,29503
513,4800000,766,Ambernath West,1,6266
514,8500000,797,Ambernath West,1,10664
515,4400000,1100,Aminpur,2,4000
516,4400000,1100,Aminpur,2,4000
517,4400000,1100,Aminpur,2,4000
518,4400000,1100,Aminpur,2,4000
519,4400000,1100,Aminpur,2,4000
520,4400000,1100,Aminpur,2,4000
521,4400000,1100,Aminpur,2,4000
522,4400000,1100,Aminpur,2,4000
523,4400000,1100,Aminpur,2,4000
524,4400000,1100,Aminpur,2,4000
525,4400000,1100,Aminpur,2,4000
526,4400000,1100,Aminpur,2,4000
527,4400000,1110,Aminpur,2,3963
528,7837000,1866,Anagalapura Near Hennur Main Road,3,4199
529,9834000,2235,Anagalapura Near Hennur Main Road,3,4400
530,8298999,1976,Anagalapura Near Hennur Main Road,3,4199
533,4400000,1000,Anagalapura Near Hennur Main Road,2,4400
534,4455000,1100,Anagalapura Near Hennur Main Road,2,4050
535,4100000,1000,Anagalapura Near Hennur Main Road,2,4100
536,4489000,1095,Anagalapura Near Hennur Main Road,2,4099
537,4407000,1075,Anagalapura Near Hennur Main Road,2,4099
538,4407000,1075,Anagalapura Near Hennur Main Road,2,4099
539,4325000,1055,Anagalapura Near Hennur Main Road,2,4099
540,4489000,1095,Anagalapura Near Hennur Main Road,2,4099
541,5700000,1414,Anagalapura Near Hennur Main Road,2,4031
543,4272000,1000,Anagalapura Near Hennur Main Road,2,4272
544,4272000,1055,Anagalapura Near Hennur Main Road,2,4049
545,4100000,1000,Anagalapura Near Hennur Main Road,2,4100
546,4489000,1095,Anagalapura Near Hennur Main Road,2,4099
547,4489000,1095,Anagalapura Near Hennur Main Road,2,4099
548,4455000,1100,Anagalapura Near Hennur Main Road,2,4050
549,4407000,1075,Anagalapura Near Hennur Main Road,2,4099
550,4455000,1100,Anagalapura Near Hennur Main Road,2,4050
551,4455000,1100,Anagalapura Near Hennur Main Road,2,4050
552,4407000,1075,Anagalapura Near Hennur Main Road,2,4099
553,4407000,1075,Anagalapura Near Hennur Main Road,2,4099
554,3911000,954,Anagalapura Near Hennur Main Road,2,4099
555,4495000,1110,Anagalapura Near Hennur Main Road,2,4049
556,4100000,1000,Anagalapura Near Hennur Main Road,2,4100
557,4272000,1055,Anagalapura Near Hennur Main Road,2,4049
558,5797000,1414,Anagalapura Near Hennur Main Road,2,4099
559,4455000,1100,Anagalapura Near Hennur Main Road,1,4050
560,4212000,1040,Anagalapura Near Hennur Main Road,2,4050
561,4407000,1075,Anagalapura Near Hennur Main Road,2,4099
562,4489000,1095,Anagalapura Near Hennur Main Road,2,4099
563,4100000,1000,Anagalapura Near Hennur Main Road,2,4100
565,4407000,1075,Anagalapura Near Hennur Main Road,2,4099
566,4212000,1040,Anagalapura Near Hennur Main Road,2,4050
567,4455000,1055,Anagalapura Near Hennur Main Road,2,4222
568,18000000,1100,Andheri,2,16363
569,14000000,1000,Andheri,2,14000
570,30000000,1480,Andheri,3,20270
571,17500000,650,Andheri,1,26923
572,65300000,3025,Andheri,4,21586
573,21800000,1120,Andheri,2,19464
574,22200000,1450,Andheri,3,15310
575,10500000,900,Andheri,3,11666
581,17500000,922,Andheri East,2,18980
582,16500000,1050,Andheri East,1,15714
583,14800000,1020,Andheri East,1,14509
585,18000000,915,Andheri East,2,19672
586,14700000,650,Andheri East,2,22615
587,15000000,620,Andheri East,1,24193
588,32500000,950,Andheri East,2,34210
590,26500000,1356,Andheri East,2,19542
592,15000000,750,Andheri East,2,20000
593,22000000,1150,Andheri East,2,19130
594,22000000,1000,Andheri East,2,22000
595,35000000,1300,Andheri East,3,26923
596,12500000,550,Andheri East,1,22727
597,8100000,600,Andheri East,1,13500
599,18000000,900,Andheri East,2,20000
600,3700000,300,Andheri East,1,12333
601,3400000,300,Andheri East,1,11333
602,7500000,300,Andheri East,1,25000
603,18900000,969,Andheri East,3,19504
605,19000000,670,Andheri East,2,28358
606,3500000,300,Andheri East,1,11666
607,28000000,900,Andheri East,2,31111
608,25500000,1113,Andheri East,3,22911
609,21400000,742,Andheri East,2,28840
